file_a,file_b,hamming,cls_a,cls_b
benign (1).png,benign (318).png,2,benign,benign
benign (10).png,benign (327).png,0,benign,benign
benign (105).png,benign (156).png,0,benign,benign
benign (11).png,benign (328).png,4,benign,benign
benign (12).png,benign (329).png,2,benign,benign
benign (127).png,benign (37).png,0,benign,benign
benign (128).png,benign (30).png,2,benign,benign
benign (129).png,benign (44).png,2,benign,benign
benign (13).png,benign (330).png,2,benign,benign
benign (131).png,benign (42).png,2,benign,benign
benign (131).png,malignant (51).png,2,benign,malignant
benign (132).png,benign (38).png,2,benign,benign
benign (133).png,benign (51).png,2,benign,benign
benign (134).png,benign (52).png,4,benign,benign
benign (135).png,benign (58).png,0,benign,benign
benign (136).png,benign (50).png,4,benign,benign
benign (138).png,benign (60).png,4,benign,benign
benign (139).png,benign (157).png,0,benign,benign
benign (139).png,benign (65).png,0,benign,benign
benign (139).png,benign (99).png,2,benign,benign
benign (14).png,benign (331).png,0,benign,benign
benign (15).png,benign (332).png,0,benign,benign
benign (150).png,benign (19).png,2,benign,benign
benign (151).png,benign (16).png,2,benign,benign
benign (152).png,benign (18).png,0,benign,benign
benign (153).png,benign (25).png,4,benign,benign
benign (157).png,benign (65).png,0,benign,benign
benign (157).png,benign (99).png,2,benign,benign
benign (163).png,benign (86).png,2,benign,benign
benign (164).png,benign (85).png,0,benign,benign
benign (164).png,malignant (52).png,2,benign,malignant
benign (17).png,benign (425).png,2,benign,benign
benign (177).png,benign (35).png,0,benign,benign
benign (197).png,benign (81).png,4,benign,benign
benign (199).png,benign (248).png,4,benign,benign
benign (2).png,benign (319).png,4,benign,benign
benign (200).png,benign (274).png,4,benign,benign
benign (200).png,benign (290).png,4,benign,benign
benign (202).png,benign (301).png,2,benign,benign
benign (203).png,benign (273).png,2,benign,benign
benign (203).png,benign (289).png,2,benign,benign
benign (204).png,benign (249).png,0,benign,benign
benign (204).png,benign (282).png,2,benign,benign
benign (205).png,benign (262).png,4,benign,benign
benign (206).png,benign (303).png,4,benign,benign
benign (207).png,benign (256).png,2,benign,benign
benign (208).png,benign (291).png,4,benign,benign
benign (209).png,benign (275).png,4,benign,benign
benign (209).png,benign (297).png,2,benign,benign
benign (210).png,benign (298).png,0,benign,benign
benign (211).png,benign (254).png,2,benign,benign
benign (213).png,benign (253).png,4,benign,benign
benign (214).png,benign (260).png,2,benign,benign
benign (214).png,benign (281).png,4,benign,benign
benign (215).png,benign (270).png,2,benign,benign
benign (216).png,benign (265).png,0,benign,benign
benign (217).png,benign (268).png,2,benign,benign
benign (218).png,benign (296).png,2,benign,benign
benign (219).png,benign (272).png,4,benign,benign
benign (222).png,benign (267).png,0,benign,benign
benign (223).png,benign (257).png,2,benign,benign
benign (225).png,benign (292).png,0,benign,benign
benign (225).png,benign (293).png,2,benign,benign
benign (226).png,benign (263).png,0,benign,benign
benign (226).png,benign (278).png,2,benign,benign
benign (227).png,benign (250).png,4,benign,benign
benign (228).png,benign (306).png,0,benign,benign
benign (229).png,benign (259).png,2,benign,benign
benign (229).png,benign (280).png,4,benign,benign
benign (230).png,benign (252).png,2,benign,benign
benign (231).png,benign (295).png,2,benign,benign
benign (232).png,benign (276).png,2,benign,benign
benign (232).png,benign (287).png,2,benign,benign
benign (233).png,benign (299).png,0,benign,benign
benign (234).png,benign (261).png,0,benign,benign
benign (235).png,benign (294).png,0,benign,benign
benign (236).png,benign (247).png,2,benign,benign
benign (238).png,benign (300).png,2,benign,benign
benign (239).png,benign (258).png,0,benign,benign
benign (240).png,benign (255).png,4,benign,benign
benign (240).png,benign (277).png,2,benign,benign
benign (241).png,benign (266).png,2,benign,benign
benign (241).png,benign (279).png,2,benign,benign
benign (244).png,benign (251).png,2,benign,benign
benign (249).png,benign (282).png,2,benign,benign
benign (255).png,benign (277).png,2,benign,benign
benign (259).png,benign (280).png,4,benign,benign
benign (260).png,benign (281).png,2,benign,benign
benign (263).png,benign (278).png,2,benign,benign
benign (266).png,benign (279).png,2,benign,benign
benign (269).png,normal (1).png,2,benign,normal
benign (273).png,benign (289).png,0,benign,benign
benign (274).png,benign (290).png,0,benign,benign
benign (275).png,benign (297).png,2,benign,benign
benign (276).png,benign (287).png,2,benign,benign
benign (284).png,benign (285).png,2,benign,benign
benign (292).png,benign (293).png,2,benign,benign
benign (3).png,benign (320).png,2,benign,benign
benign (307).png,benign (419).png,4,benign,benign
benign (309).png,benign (422).png,0,benign,benign
benign (310).png,benign (423).png,4,benign,benign
benign (312).png,benign (421).png,0,benign,benign
benign (316).png,benign (426).png,2,benign,benign
benign (321).png,benign (4).png,4,benign,benign
benign (322).png,benign (5).png,0,benign,benign
benign (323).png,benign (6).png,2,benign,benign
benign (324).png,benign (7).png,2,benign,benign
